Parameter Count: 5656144
Training with 208200 image pairs
/home/navid/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/navid/.local/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[   100,  0.0000116]     0.0565,     0.2890,     0.4478,    22.4687, 
[   200,  0.0000192]     0.0836,     0.3710,     0.5228,    15.1179, 
[   300,  0.0000269]     0.0881,     0.3598,     0.4840,    16.7367, 
[   400,  0.0000345]     0.0941,     0.3892,     0.5128,    14.0946, 
[   500,  0.0000422]     0.0849,     0.3603,     0.4950,    15.2069, 
[   600,  0.0000499]     0.0971,     0.3868,     0.5114,    15.4769, 
[   700,  0.0000575]     0.0901,     0.3813,     0.5288,    15.0878, 
[   800,  0.0000652]     0.1211,     0.4356,     0.5752,    13.8224, 
[   900,  0.0000728]     0.1190,     0.4156,     0.5560,    13.8082, 
[  1000,  0.0000805]     0.1272,     0.4370,     0.5700,    12.1320, 
[  1100,  0.0000881]     0.1314,     0.4647,     0.6079,    11.7031, 
[  1200,  0.0000958]     0.1123,     0.4638,     0.6248,    11.0937, 
[  1300,  0.0000998]     0.1595,     0.5164,     0.6530,    11.1273, 
[  1400,  0.0000994]     0.2336,     0.6099,     0.7221,    10.2189, 
[  1500,  0.0000990]     0.3050,     0.6415,     0.7411,     9.8049, 
[  1600,  0.0000986]     0.3831,     0.6877,     0.7738,     7.7810, 
[  1700,  0.0000981]     0.4345,     0.7058,     0.7853,     7.0538, 
[  1800,  0.0000977]     0.4815,     0.7293,     0.7967,     7.6484, 
[  1900,  0.0000973]     0.5078,     0.7484,     0.8144,     6.9516, 
[  2000,  0.0000969]     0.4971,     0.7355,     0.8026,     8.3387, 
[  2100,  0.0000965]     0.5332,     0.7559,     0.8179,     6.8550, 
[  2200,  0.0000960]     0.5405,     0.7561,     0.8182,     7.1708, 
[  2300,  0.0000956]     0.5337,     0.7494,     0.8097,     8.0341, 
[  2400,  0.0000952]     0.5590,     0.7686,     0.8253,     7.0335, 
[  2500,  0.0000948]     0.5681,     0.7737,     0.8320,     6.2308, 
[  2600,  0.0000944]     0.6023,     0.7972,     0.8498,     5.7614, 
[  2700,  0.0000939]     0.5790,     0.7760,     0.8321,     6.9670, 
[  2800,  0.0000935]     0.6042,     0.7941,     0.8471,     5.9505, 
[  2900,  0.0000931]     0.6005,     0.7904,     0.8421,     6.4736, 
[  3000,  0.0000927]     0.6254,     0.8046,     0.8528,     5.8877, 
[  3100,  0.0000923]     0.6720,     0.8392,     0.8820,     4.6408, 
[  3200,  0.0000918]     0.6189,     0.7989,     0.8479,     6.1877, 
[  3300,  0.0000914]     0.6384,     0.8150,     0.8626,     5.2984, 
[  3400,  0.0000910]     0.6510,     0.8217,     0.8675,     5.5016, 
[  3500,  0.0000906]     0.6631,     0.8265,     0.8687,     5.3433, 
[  3600,  0.0000902]     0.6319,     0.8088,     0.8578,     5.2592, 
[  3700,  0.0000897]     0.6779,     0.8441,     0.8882,     4.6530, 
[  3800,  0.0000893]     0.6536,     0.8177,     0.8633,     6.1976, 
[  3900,  0.0000889]     0.6573,     0.8217,     0.8641,     5.8629, 
[  4000,  0.0000885]     0.6754,     0.8314,     0.8740,     4.9574, 
[  4100,  0.0000881]     0.6821,     0.8359,     0.8763,     5.0396, 
[  4200,  0.0000877]     0.6731,     0.8304,     0.8715,     5.6577, 
[  4300,  0.0000872]     0.6453,     0.8089,     0.8535,     7.0357, 
[  4400,  0.0000868]     0.7071,     0.8545,     0.8935,     4.1438, 
[  4500,  0.0000864]     0.6724,     0.8269,     0.8704,     5.5886, 
[  4600,  0.0000860]     0.6635,     0.8264,     0.8712,     5.1365, 
[  4700,  0.0000856]     0.6728,     0.8313,     0.8743,     5.4496, 
[  4800,  0.0000851]     0.6828,     0.8318,     0.8739,     5.2340, 
[  4900,  0.0000847]     0.6877,     0.8395,     0.8805,     4.6065, 
[  5000,  0.0000843]     0.6930,     0.8482,     0.8891,     4.2894, 
Validation (clean) EPE: 3.185322, 1px: 0.771191, 3px: 0.898091, 5px: 0.928023
Validation (final) EPE: 4.207760, 1px: 0.741483, 3px: 0.867902, 5px: 0.901520
[  5100,  0.0000839]     0.6929,     0.8409,     0.8821,     4.6627, 
[  5200,  0.0000835]     0.6996,     0.8422,     0.8810,     4.8073, 
[  5300,  0.0000830]     0.7082,     0.8506,     0.8888,     4.2239, 
[  5400,  0.0000826]     0.6852,     0.8345,     0.8750,     5.4441, 
[  5500,  0.0000822]     0.7034,     0.8444,     0.8822,     5.2061, 
[  5600,  0.0000818]     0.6966,     0.8435,     0.8849,     4.6231, 
[  5700,  0.0000814]     0.7099,     0.8537,     0.8948,     3.5450, 
[  5800,  0.0000809]     0.7167,     0.8585,     0.8967,     3.9475, 
[  5900,  0.0000805]     0.7244,     0.8560,     0.8917,     4.6743, 
[  6000,  0.0000801]     0.7245,     0.8605,     0.8961,     4.6900, 
[  6100,  0.0000797]     0.7362,     0.8671,     0.9018,     4.0147, 
[  6200,  0.0000793]     0.7254,     0.8593,     0.8967,     4.1535, 
[  6300,  0.0000788]     0.7205,     0.8584,     0.8945,     4.6897, 
[  6400,  0.0000784]     0.7065,     0.8476,     0.8850,     5.0273, 
[  6500,  0.0000780]     0.7312,     0.8675,     0.9016,     3.8419, 
[  6600,  0.0000776]     0.7278,     0.8599,     0.8955,     4.3449, 
[  6700,  0.0000772]     0.7223,     0.8611,     0.8966,     4.5394, 
[  6800,  0.0000767]     0.7328,     0.8646,     0.8980,     4.9114, 
[  6900,  0.0000763]     0.7524,     0.8788,     0.9121,     3.4002, 
[  7000,  0.0000759]     0.7316,     0.8625,     0.8973,     4.3164, 
[  7100,  0.0000755]     0.7308,     0.8676,     0.9028,     3.6859, 
[  7200,  0.0000751]     0.7448,     0.8719,     0.9059,     3.7858, 
[  7300,  0.0000747]     0.7333,     0.8637,     0.8987,     4.3772, 
[  7400,  0.0000742]     0.7408,     0.8689,     0.9031,     4.0185, 
[  7500,  0.0000738]     0.7398,     0.8646,     0.8979,     4.4336, 
[  7600,  0.0000734]     0.7493,     0.8712,     0.9029,     4.5927, 
[  7700,  0.0000730]     0.7378,     0.8678,     0.9026,     4.1389, 
[  7800,  0.0000726]     0.7471,     0.8696,     0.9021,     4.3686, 
[  7900,  0.0000721]     0.7598,     0.8836,     0.9158,     3.2553, 
[  8000,  0.0000717]     0.7394,     0.8647,     0.8975,     4.4696, 
[  8100,  0.0000713]     0.7664,     0.8850,     0.9160,     3.5664, 
[  8200,  0.0000709]     0.7394,     0.8666,     0.9009,     4.2382, 
