Parameter Count: 5753220
Training with 208200 image pairs
/home/navid/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/navid/.local/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[   100,  0.0000116]     0.0507,     0.2792,     0.4354,    17.0441, 
[   200,  0.0000192]     0.0699,     0.3539,     0.5303,    16.0605, 
[   300,  0.0000269]     0.1026,     0.3960,     0.5261,    14.3840, 
[   400,  0.0000345]     0.0902,     0.3850,     0.5305,    13.9749, 
[   500,  0.0000422]     0.0965,     0.4105,     0.5687,    13.3189, 
[   600,  0.0000499]     0.1146,     0.4556,     0.6097,    13.3657, 
[   700,  0.0000575]     0.1622,     0.5231,     0.6588,    10.7169, 
[   800,  0.0000652]     0.2293,     0.6054,     0.7145,    10.2156, 
[   900,  0.0000728]     0.2186,     0.5854,     0.7000,    12.1211, 
[  1000,  0.0000805]     0.2804,     0.6245,     0.7210,    10.4539, 
[  1100,  0.0000881]     0.2793,     0.6214,     0.7206,     9.9821, 
[  1200,  0.0000958]     0.3140,     0.6713,     0.7616,     9.0593, 
[  1300,  0.0000998]     0.3456,     0.6575,     0.7413,    10.7565, 
[  1400,  0.0000994]     0.4232,     0.7320,     0.8057,     8.0428, 
[  1500,  0.0000990]     0.4535,     0.7264,     0.7949,     8.6436, 
[  1600,  0.0000986]     0.4487,     0.7354,     0.8047,     8.2377, 
[  1700,  0.0000981]     0.4740,     0.7440,     0.8122,     7.4770, 
[  1800,  0.0000977]     0.4757,     0.7533,     0.8212,     6.8182, 
[  1900,  0.0000973]     0.5412,     0.7815,     0.8397,     6.0533, 
[  2000,  0.0000969]     0.5244,     0.7740,     0.8344,     6.9387, 
[  2100,  0.0000965]     0.5344,     0.7722,     0.8304,     7.3822, 
[  2200,  0.0000960]     0.5520,     0.7731,     0.8278,     7.6382, 
[  2300,  0.0000956]     0.5457,     0.7704,     0.8287,     7.2864, 
[  2400,  0.0000952]     0.5925,     0.8050,     0.8557,     6.5325, 
[  2500,  0.0000948]     0.5864,     0.7989,     0.8499,     6.2566, 
[  2600,  0.0000944]     0.6023,     0.8062,     0.8553,     6.6630, 
[  2700,  0.0000939]     0.5880,     0.7987,     0.8476,     7.0103, 
[  2800,  0.0000935]     0.6066,     0.8130,     0.8612,     5.8328, 
[  2900,  0.0000931]     0.6265,     0.8248,     0.8722,     5.3239, 
[  3000,  0.0000927]     0.6243,     0.8123,     0.8578,     6.1237, 
[  3100,  0.0000923]     0.6210,     0.8099,     0.8569,     6.0977, 
[  3200,  0.0000918]     0.6197,     0.8066,     0.8540,     6.2644, 
[  3300,  0.0000914]     0.6003,     0.8032,     0.8510,     7.0248, 
[  3400,  0.0000910]     0.6163,     0.8089,     0.8558,     6.0745, 
[  3500,  0.0000906]     0.6603,     0.8307,     0.8724,     5.6064, 
[  3600,  0.0000902]     0.6418,     0.8270,     0.8712,     5.5886, 
[  3700,  0.0000897]     0.6486,     0.8199,     0.8616,     6.1443, 
[  3800,  0.0000893]     0.6460,     0.8281,     0.8731,     5.4847, 
[  3900,  0.0000889]     0.6442,     0.8260,     0.8713,     4.9632, 
[  4000,  0.0000885]     0.6629,     0.8407,     0.8845,     4.5298, 
[  4100,  0.0000881]     0.6679,     0.8358,     0.8768,     5.3653, 
[  4200,  0.0000877]     0.6591,     0.8267,     0.8686,     6.2185, 
[  4300,  0.0000872]     0.6469,     0.8226,     0.8662,     6.1051, 
[  4400,  0.0000868]     0.6824,     0.8467,     0.8864,     5.0739, 
[  4500,  0.0000864]     0.6481,     0.8189,     0.8616,     6.3581, 
[  4600,  0.0000860]     0.6396,     0.8129,     0.8555,     7.1567, 
[  4700,  0.0000856]     0.6579,     0.8290,     0.8727,     4.9549, 
[  4800,  0.0000851]     0.6879,     0.8431,     0.8803,     5.8999, 
[  4900,  0.0000847]     0.6777,     0.8396,     0.8791,     6.1657, 
[  5000,  0.0000843]     0.6570,     0.8294,     0.8730,     5.0799, 
Validation (clean) EPE: 3.350262, 1px: 0.724663, 3px: 0.884493, 5px: 0.919051
Validation (final) EPE: 4.166451, 1px: 0.689560, 3px: 0.852474, 5px: 0.892912
[  5100,  0.0000839]     0.6535,     0.8265,     0.8704,     5.7501, 
[  5200,  0.0000835]     0.6613,     0.8256,     0.8679,     5.9108, 
[  5300,  0.0000830]     0.6911,     0.8495,     0.8884,     5.5673, 
[  5400,  0.0000826]     0.6877,     0.8394,     0.8763,     5.6748, 
[  5500,  0.0000822]     0.6780,     0.8377,     0.8765,     6.3278, 
[  5600,  0.0000818]     0.6571,     0.8316,     0.8751,     5.5255, 
[  5700,  0.0000814]     0.6945,     0.8494,     0.8890,     4.4928, 
[  5800,  0.0000809]     0.6864,     0.8422,     0.8801,     5.2246, 
[  5900,  0.0000805]     0.6750,     0.8269,     0.8659,     6.6030, 
[  6000,  0.0000801]     0.7192,     0.8660,     0.9006,     4.2403, 
[  6100,  0.0000797]     0.7179,     0.8628,     0.8974,     5.0064, 
[  6200,  0.0000793]     0.7121,     0.8628,     0.8997,     4.4850, 
[  6300,  0.0000788]     0.6997,     0.8531,     0.8901,     5.1467, 
[  6400,  0.0000784]     0.7048,     0.8542,     0.8917,     4.6778, 
[  6500,  0.0000780]     0.7120,     0.8529,     0.8868,     5.2585, 
[  6600,  0.0000776]     0.7162,     0.8626,     0.8991,     4.4205, 
[  6700,  0.0000772]     0.7116,     0.8604,     0.8972,     4.1476, 
[  6800,  0.0000767]     0.7143,     0.8595,     0.8957,     4.3816, 
[  6900,  0.0000763]     0.7158,     0.8630,     0.8972,     4.5260, 
[  7000,  0.0000759]     0.6985,     0.8486,     0.8859,     4.5494, 
[  7100,  0.0000755]     0.6972,     0.8455,     0.8829,     5.2359, 
[  7200,  0.0000751]     0.7105,     0.8546,     0.8924,     4.3212, 
[  7300,  0.0000747]     0.7332,     0.8727,     0.9060,     4.1964, 
[  7400,  0.0000742]     0.7214,     0.8646,     0.9010,     4.1659, 
[  7500,  0.0000738]     0.7065,     0.8590,     0.8973,     4.1809, 
[  7600,  0.0000734]     0.7409,     0.8764,     0.9090,     3.8158, 
[  7700,  0.0000730]     0.7151,     0.8530,     0.8871,     5.1658, 
[  7800,  0.0000726]     0.7205,     0.8654,     0.9022,     3.8238, 
[  7900,  0.0000721]     0.7327,     0.8704,     0.9046,     3.7430, 
[  8000,  0.0000717]     0.7318,     0.8679,     0.9010,     4.3057, 
